SampleID,Age
DYEY1,3
DYEY10,5
DYEY2,4
DYEY3,4
DYEY4,4
DYEY5,5
DYEY6,4
DYEY7,4
DYEY8,5
DYEY9,5
TET1,6
TET10,6
TET100,5
TET103,5
TET104,5
TET105,5
TET106,4
TET107,4
TET108,5
TET109,5
TET110,4
TET112,4
TET113,5
TET114,5
TET115,6
TET117,4
TET118,5
TET119,5
TET120,6
TET121,4
TET14,6
TET15,4
TET16,6
TET18,6
TET19,4
TET2,6
TET20,6
TET24,5
TET26,6
TET28,5
TET29,6
TET31,5
TET33,6
TET34,6
TET35,5
TET36,5
TET37,6
TET38,5
TET39,4
TET4,5
TET40,5
TET41,6
TET42,6
TET43,5
TET44,6
TET45,6
TET46,6
TET47,4
TET48,6
TET5,5
TET51,5
TET52,4
TET53,6
TET54,5
TET56,5
TET57,5
TET58,4
TET6,4
TET60,5
TET61,4
TET62,4
TET63,5
TET65,4
TET67,6
TET68,4
TET7,5
TET70,5
TET71,4
TET72,4
TET75,4
TET76,4
TET77,5
TET78,5
TET79,4
TET8,6
TET80,6
TET81,6
TET82,6
TET84,5
TET85,4
TET86,4
TET87,5
TET88,5
TET89,6
TET9,6
TET90,6
TET92,5
TET93,4
TET94,4
TET95,5
TET96,6
TET97,4
TET98,4
DXX1,10
DXX10,10
DXX11,10
DXX116,10
DXX12,10
DXX13,11
DXX136,11
DXX15,11
DXX16,10
DXX17,11
DXX18,11
DXX19,10
DXX2,10
DXX20,10
DXX21,10
DXX22,10
DXX23,10
DXX24,10
DXX25,11
DXX26,10
DXX5,11
DXX6,10
DXX7,11
DXX8,10
DXX9,11
TXX1,8
TXX10,8
TXX101,10
TXX102,10
TXX103,10
TXX104,11
TXX105,10
TXX106,10
TXX107,10
TXX108,10
TXX109,10
TXX11,8
TXX111,11
TXX112,10
TXX113,10
TXX114,10
TXX115,11
TXX118,11
TXX119,11
TXX12,9
TXX120,11
TXX121,11
TXX122,11
TXX123,11
TXX124,11
TXX125,12
TXX126,11
TXX127,12
TXX128,11
TXX129,11
TXX13,9
TXX130,12
TXX131,11
TXX132,11
TXX133,11
TXX134,11
TXX135,11
TXX137,11
TXX138,11
TXX139,11
TXX14,9
TXX140,11
TXX141,11
TXX142,11
TXX143,12
TXX144,11
TXX145,11
TXX146,11
TXX147,12
TXX148,11
TXX149,11
TXX15,8
TXX151,12
TXX152,12
TXX16,9
TXX17,8
TXX18,9
TXX19,9
TXX2,8
TXX20,9
TXX21,8
TXX22,9
TXX23,8
TXX24,9
TXX25,9
TXX26,8
TXX28,8
TXX29,8
TXX30,9
TXX32,9
TXX33,8
TXX34,8
TXX35,9
TXX36,8
TXX37,9
TXX38,8
TXX40,8
TXX42,8
TXX43,8
TXX44,8
TXX45,8
TXX46,9
TXX47,8
TXX48,10
TXX49,10
TXX5,10
TXX50,9
TXX51,9
TXX52,9
TXX53,10
TXX54,9
TXX55,9
TXX56,9
TXX57,9
TXX58,9
TXX59,10
TXX60,9
TXX61,10
TXX62,10
TXX63,10
TXX64,9
TXX65,10
TXX66,10
TXX67,9
TXX68,9
TXX69,10
TXX70,9
TXX72,10
TXX73,10
TXX74,9
TXX75,10
TXX76,9
TXX77,9
TXX78,9
TXX79,10
TXX8,8
TXX80,11
TXX81,11
TXX82,10
TXX83,10
TXX84,11
TXX85,11
TXX86,10
TXX87,10
TXX88,11
TXX89,11
TXX9,8
TXX90,10
TXX91,10
TXX93,11
TXX94,10
TXX95,10
TXX96,10
TXX97,10
TXX98,10
TXX99,11
TZX1,13
TZX10,14
TZX100,14
TZX101,13
TZX102,13
TZX103,13
TZX104,14
TZX106,13
TZX107,13
TZX108,13
TZX109,13
TZX11,14
TZX111,14
TZX112,13
TZX114,13
TZX115,13
TZX116,13
TZX117,13
TZX118,14
TZX12,13
TZX120,13
TZX121,14
TZX13,14
TZX14,13
TZX15,13
TZX16,13
TZX17,13
TZX18,13
TZX19,14
TZX2,14
TZX20,14
TZX21,13
TZX23,13
TZX23.2,13
TZX24,13
TZX25,13
TZX26,14
TZX27,14
TZX28,13
TZX29,14
TZX3,14
TZX30,13
TZX31,13
TZX32,13
TZX33,14
TZX34,14
TZX35,13
TZX36,14
TZX37,13
TZX38,13
TZX39,13
TZX4,14
TZX40,14
TZX41,14
TZX42,13
TZX43,14
TZX44,13
TZX45,13
TZX46,13
TZX47,14
TZX48,14
TZX49,13
TZX5,14
TZX50,14
TZX51,13
TZX52,13
TZX53,13
TZX54,14
TZX55,14
TZX56,13
TZX57,14
TZX58,13
TZX59,13
TZX6,13
TZX60,13
TZX61,14
TZX62,14
TZX63,13
TZX64,14
TZX65,13
TZX66,13
TZX67,13
TZX68,14
TZX69,13
TZX7,13
TZX70,13
TZX71,13
TZX72,14
TZX73,14
TZX74,13
TZX75,14
TZX76,14
TZX77,13
TZX78,14
TZX79,13
TZX8,13
TZX80,13
TZX81,13
TZX82,14
TZX83,13
TZX84,13
TZX85,13
TZX86,14
TZX87,14
TZX88,13
TZX9,13
TZX90,13
TZX92,13
TZX94,14
TZX95,13
TZX96,13
TZX97,13
TZX98,13
TZX99,14
Q108,20
Q120,20
Q123,22
Q126,20
Q32,19
Q41,20
Q47,19
TQ034,20
TQ052,22
TQ060,19
TQ062,20
TQ064,19
TQ083,20
TQ084,21
TQ090,19
TQ1,20
TQ10,20
TQ100,20
TQ101,19
TQ102,20
TQ103,20
TQ104,19
TQ105,19
TQ106,22
TQ107,20
TQ108,20
TQ109,20
TQ11,20
TQ110,20
TQ111,22
TQ112,20
TQ113,21
TQ114,20
TQ115,20
TQ116,20
TQ117,20
TQ118,20
TQ119,19
TQ12,20
TQ121,21
TQ122,21
TQ124,21
TQ125,21
TQ127,21
TQ128,20
TQ129,22
TQ13,20
TQ130,19
TQ131,20
TQ132,19
TQ133,21
TQ135,19
TQ136,19
TQ137,20
TQ139,19
TQ14,20
TQ140,20
TQ141,20
TQ15,20
TQ16,20
TQ19,19
TQ2,20
TQ20,20
TQ21,20
TQ22,20
TQ23,20
TQ24,21
TQ25,20
TQ26,21
TQ27,19
TQ28,20
TQ29,20
TQ3,20
TQ30,20
TQ31,19
TQ33,19
TQ35,19
TQ36,19
TQ38,19
TQ39,19
TQ4,19
TQ42,19
TQ43,20
TQ44,20
TQ45,20
TQ46,20
TQ48,20
TQ49,20
TQ5,19
TQ50,21
TQ51,19
TQ53,19
TQ54,19
TQ55,20
TQ56,19
TQ57,21
TQ58,19
TQ59,20
TQ6,19
TQ61,20
TQ63,20
TQ65,20
TQ66,21
TQ67,20
TQ68,21
TQ69,20
TQ7,19
TQ70,20
TQ71,20
TQ72,19
TQ73,19
TQ74,20
TQ75,21
TQ76,20
TQ77,19
TQ78,20
TQ79,19
TQ8,20
TQ80,20
TQ81,20
TQ82,19
TQ85,19
TQ86,20
TQ87,20
TQ89,20
TQ9,20
TQ90,19
TQ92,20
TQ93,19
TQ94,20
TQ95,20
TQ96,20
TQ97,20
TQ98,21
TQ99,20
9,21
10,21
11,20
12,20
13,21
14,20
15,23
18,20
21,21
22,21
23,19
24,20
25,22
26,20
27,21
28,19
29,20
31,22
32,20
33,21
34,23
35,20
37,21
39,23
40,21
41,20
42,23
43,20
44,22
46,22
47,22
48,20
50,20
51,19
52,21
54,20
55,24
56,19
57,20
58,20
59,20
60,20
61,21
62,21
63,20
64,20
65,20
66,20
67,20
70,21
71,19
72,21
73,20
76,24
77,20
78,20
80,20
83,20
84,22
85,20
86,20
87,20
88,20
89,21
90,21
91,24
93,20
95,21
96,20
97,20
98,20
99,20
100,19
101,21
102,24
103,24
104,20
105,21
106,20
107,20
108,19
109,20
110,23
111,21
113,21
114,21
116,20
117,19
118,19
119,20
120,20
121,21
124,20
125,21
126,19
128,19
129,22
130,20
141,19
142,21
151,20
152,20
153,20
154,21
156,21
157,21
158,22
159,19
160,20
161,19
162,19
163,23
164,20
165,19
167,19
169,21
170,20
171,20
172,23
173,19
175,23
176,21
177,20
178,19
180,21
181,19
182,21
183,21
184,21
186,20
188,20
190,20
191,19
192,23
193,24
194,19
195,19
196,21
197,24
198,21
199,21
200,20
201,20
202,19
203,22
206,22
207,21
209,19
210,20
211,21
213,19
214,19
215,20
217,22
219,19
221,23
222,20
223,21
224,21
225,21
226,19
227,22
228,22
229,20
230,19
231,21
232,20
233,23
236,20
237,19
239,23
241,21
242,20
243,21
245,24
246,23
247,23
248,20
252,19
253,21
254,20
255,22
256,20
257,19
258,22
259,21
260,21
261,20
262,19
264,20
265,23
266,24
267,21
268,20
269,20
270,23
271,20
272,19
273,23
276,19
277,19
278,22
280,20
282,20
283,21
284,19
286,23
287,24
288,19
289,22
22X,20
95x,22
TZ20,36
TZ7,30
TZ95,38
TZ55,37
TZ86,43
TZ114,44
TZ66,36
TZ15,30
TZ109,33
TZ85,33
TZ115,39
TZ71,35
TZ62,39
TZ64,38
TZ112,37
TZ63,36
TZ93,40
TZ74,36
TZ65,38
TZ45,40
TZ11,43
TZ53,35
TZ44,39
TZ34,40
TZ59,45
TZ73,42
TZ94,30
TZ16,36
TZ102,45
TZ38,43
TZ24,48
TZ58,44
TZ28,44
TZ83,47
TZ33,36
TZ29,35
TZ22,39
TZ107,32
TZ12,32
TZ32,44
TZ78,41
TZ6,34
TZ111,40
TZ47,45
TZ88,43
TZ30.1,37
TZ108,41
TZ19,45
TZ40,36
TZ91,40
TZ52,47
TZ37,46
TZ101,47
TZ57,43
TZ81,43
TZ13,42
TZ89,44
TZ4,41
TZ87,46
TZ3,38
TZ5,45
TZ8,48
TZ26,48
TZ75,38
TZ80,49
TZ60,36
TZ30,37
TZ56,38
TZ41,44
TZ76,50
TZ9,43
TZ50,33
TZ77,45
TZ68,41
TZ82,37
TZ104,38
TZ110,48
TZ96,43
TZ67,30
TZ92,33
TZ113,38
TZ105,36
TZ69,38
TZ48,36
TZ103,39
TZ61,43
TL100,77
TL30,61
TL107,62
TL106,70
TL80,73
TL76,61
TL65,62
TL7,70
TL96,60
TL86,62
TL103,60
TL95,73
TL111,70
TL61,62
TL94,62
TL62,62
TL63,61
TL37,63
TL116,71
TL31,61
TL118,64
TL13,63
TL121,61
TL57,64
TL87,79
TL64,66
TL2,63
TL108,61
TL73,69
TL55,66
TL109,60
TL77,62
TL38,72
TL12,68
TL67,66
TL10,65
TL3,61
TL14,74
TL97,76
TL123,61
TL6,63
100a,60
TL120,62
TL54,69
TL117,65
TL44,60
TL71,63
TL20,64
TL1,62
TL124,67
TL78,69
TL105,65
TL81,73
TL91,70
TL66,60
TL92,61
TL88,64
TL60,76
TL69,67
TL93,77
TL113,61
TL59,66
TL115,63
TL85,61
TL4,69
TL39,72
TL16,68
TL114,65
TL129,65
TL102,72
TL110,62
TL84,62
TL112,64
TL74,68
TL70,76
TL99,61
TL82,63
TL18,66
TL23,74
TL83,64
100b,60
TL90,62
TL27,63
TL5,79
TL58,61
TL119,62
R38,102
R16,99
R183,98
R214,99
R39,98
R58,96
R201,99
R140,97
R28,100
R126,96
R144,99
R143,97
R149,98
R221,98
R175,102
R250,101
R83,98
R88,95
R223,100
R178,98
R212,97
R148,97
R96,96
R82,98
R161,98
R257,98
R137,97
R150,99
R238,99
R177,98
R130,98
R179,97
R68,97
R202,98
R77,97
R86,98
R106,97
R190,97
R243,97
R216,98
R70,103
R127,100
R45,96
R229,99
R224,99
R114,96
R111,99
R170,97
R26,97
R240,97
R113,98
R108,100
R66,104
R185,98
R119,98
R220,96
R71,95
R207,100
R87,95
R110,100
R159,103
R157,96
R215,100
R10,96
R194,96
R184,98
R239,100
R85,97
R213,97
R218,102
R153,98
R62,96
R21,96
R160,97
R134,95
R237,97
R204,100
R12,101
R217,96
R89,97
R168,100
R131,97
R155,98
R35,103
R209,97
R187,100
R37,102
R244,97
R128,97
R94,97
R118,96
R25,95
R234,98
R231,98
R167,98
R245,109
R121,97
R75,95
R117,101
R186,97
R188,97
R17,99
R181,97
R236,97
R219,97
R196,100
R205,99
R23,100
R65,100
R147,99
R256,100
R129,102
R226,95
R120,99
R136,98
R164,99
R189,97
R92,99
R78,100
R252,97
R235,101
R145,97
R163,98
R27,100
R254,96
R79,97
R191,98
R115,99
R227,95
R154,103
R101,97
R255,103
R46,97
R222,102
R97,102
R105,95
R242,98
R180,101
R102,97
R172,99
R230,97
R171,97
R233,99
R55,102
R228,98
R151,96
R169,97
R211,98
R14,103
R192,99
R142,98
R107,99
R173,100
R93,104
R40,97
R49,100
R13,99
R248,97
R98,100
R74,95
R132,100
R210,97
R61,98
R232,97
R80,96
R44,99
R100,103
R182,97
R152,99
R67,95
R135,100
R156,99
R225,98
R34,95
R109,99
R103,102
R52,100
R251,96
R195,98
R133,97
R203,97
R158,97
R253,97
R193,97
R47,104
R197,101
R99,96
R64,97
R76,97
R247,98
R165,98
R176,100
R53,102
R166,98
R104,97
R141,102
R174,97
R51,97
